MAIN BOARD,,,,,,,,,,,,
Item,CUST #,Value,Pkg (in),Qnt,Link,Part Number,Price/Unit,Total Price,Owned?,Checked?,Ordered?,Notes
ESP,,,,,,,,,,,,
ESP32-WROOM-32E-N16,esp1,,,1,Mouser,ESP32-WROOM-32E-N16,$3.60,$3.60,y,y,,
ESP_EN Pull Up Resistor 10k,esp2,10kOhm(1%),805,1,Mouser,AC0805FR-0710KL,$0.10,$0.10,y,y,,
ESP_EN Capacitor 1uF,esp3,1uF/16V(10%),805,1,Mouser,CL21B105KOFNNNG,$0.10,$0.10,,y,,
ESP 3V3 Filter Cap 0.1uF,esp4,0.1uF/50V(10%),805,1,Mouser,885012207098,$0.10,$0.10,y,y,,
ESP 3V3 Filter Cap 22uF,esp5,22uF/25V(20%),805,1,Mouser,CL21A226KQCLRNC,$0.20,$0.20,y,y,,
ESP GPIO0 Pull Up Resistor 10k,esp6,10kOhm(1%),805,1,Mouser,AC0805FR-0710KL,$0.10,$0.10,y,y,,
POWER,,,,,,,,,,,,
Barrel Jack,pow1,,5.5x2.1mm,1,Mouser,PRT-10811,$0.95,$0.95,y,y,,
LDO Voltage Regulator,pow2,5V -> 3.3V @ > 500mA,SOT223-4,1,Mouser,"REG1117-3.3G4",$3.07,$3.07,,y,,
LDO Cap 0.1uF,pow3,0.1uF/50V(10%),805,2,Mouser,885012207098,$0.10,$0.20,y,y,,
LDO Cap 10uF,pow4,10uF/25V(20%),805,2,Mouser,CL21A106KAYNNNG,$0.16,$0.32,y,y,,
Power Indicator I Limiting Resistor,pow5,65 Ohm(1%),805,1,Mouser,RC0805FR-0764R9L,$0.10,$0.10,,y,,
Power Indicator LED,pow6,RED (2V @ 20mA),1206,1,Mouser,156120RS75000,$0.18,$0.18,y,y,,
ADDRESSABLE LEDS,,,,,,,,,,,,
Decoupling Capacitor,led1,1000uF,805,1,Mouser,ESW108M6R3AH1AA,$0.35,$0.35,y,y,,
Logic Level Shifter,led2,3.3 -> 5V,SOT23-3,1,Mouser,BSS138A-TP,$0.34,$0.34,y,y,,
Logic Level Resistors,led3,10kOhm,805,2,Mouser,AC0805FR-0710KL,$0.10,$0.20,y,y,,
"Right Angle JST, Female and Male",led4,,,1,Mouser,PRT-09915,$1.50,$1.50,,y,,
ENCODER,,,,,,,,,,,,
Rotary Encoder Capacitors,enc1,0.1uF,805,2,Mouser,885012207098,$0.10,$0.20,y,y,,
Rotary Encoder w/ button,enc2,12 detents,NA,1,Mouser,PEC11R-4320F-S0012,$2.16,$2.16,,y,,
Rotary Encoder Resistors,enc3,10kOhm,805,5,Mouser,AC0805FR-0710KL,$0.10,$0.50,y,y,,
Rotary Encoder Knob,enc4,,6mm shaft,1,Mouser,COM-10002,$1.50,$1.50,,y,,
PROGRAMMING,,,,,,,,,,,,
Boot / Enable Switches,pro1,5.2mm,,2,Mouser,COM-08720,$0.95,$1.90,,y,,
Switch Capacitors 0.1uF,pro2,0.1 uF/50V(10%),805,2,Mouser,885012207098,$0.10,$0.20,,y,,
Headers,pro3,3 pins,"0.1"" spacing",1,Mouser,G800W305018EU,0.1,0.1,,y,,
,,,Total Components,33,,,Total Price,17.97,,,,
,,,,,,,,,,,,
EXTERNAL,,,,,,,,,,,,
Wall Wart to barrel jack,extpow1,5V >2.5A,5.5x2.1mm ,1,Mouser,T6634ST,6.91,6.91,N,,,
WS2812b LED Strip,,,,1,Adafruit,,24.95,,,,,
Glass,,,,,,,,,,,,
Mirror,,,,,,,,,,,,
,,,,,,,,,,,,
MECHANICAL HARDWARE,,,,,,,,,,,,
Clock Mounting Screws,,"#6 (0.15"")",NA,2,McMaster-Carr,,,,,,,
PCB Mounting Screws,,,,,McMaster-Carr,,,,,,,